Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol1>,valid,1214,8.114603281021118
<http://example.org/lungCancer/shapes/Protocol1>,valid,366,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,263,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,660,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,959,8.113603115081787
<http://example.org/lungCancer/shapes/Protocol1>,violated,6,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,528,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,244,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,686,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,327,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,610,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,232,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,452,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,304,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,800,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,472,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,1219,8.114603281021118
<http://example.org/lungCancer/shapes/Protocol1>,valid,958,8.113603115081787
<http://example.org/lungCancer/shapes/Protocol1>,valid,775,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,1165,8.113603115081787
<http://example.org/lungCancer/shapes/Protocol1>,valid,450,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,1075,8.113603115081787
<http://example.org/lungCancer/shapes/Protocol1>,valid,345,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,856,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,129,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,188,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,1190,8.113603115081787
<http://example.org/lungCancer/shapes/Protocol1>,valid,192,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,505,8.111602783203125
<http://example.org/lungCancer/shapes/Protocol1>,valid,750,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,137,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,287,8.11060357093811
<http://example.org/lungCancer/shapes/Protocol1>,valid,895,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,774,8.112602949142456
<http://example.org/lungCancer/shapes/Protocol1>,valid,1188,8.113603115081787
